,name,bit,shape,mse_before,mse_after,acc
31,features.11.conv.1.0,16,"torch.Size([384, 1, 3, 3])",0.039062391966581345,0.036286137998104095,10.162032406481297
32,features.11.conv.2,16,"torch.Size([96, 384, 1, 1])",0.9239405393600464,0.8927596807479858,10.162032406481297
33,features.12.conv.0.0,16,"torch.Size([576, 96, 1, 1])",0.13722100853919983,0.13598203659057617,10.162032406481297
34,features.12.conv.1.0,16,"torch.Size([576, 1, 3, 3])",0.0007228347240015864,0.00048806500853970647,10.162032406481297
35,features.12.conv.2,16,"torch.Size([96, 576, 1, 1])",0.09585731476545334,0.06792259216308594,10.162032406481297
36,features.13.conv.0.0,16,"torch.Size([576, 96, 1, 1])",0.15930941700935364,0.15736731886863708,10.162032406481297
37,features.13.conv.1.0,16,"torch.Size([576, 1, 3, 3])",0.0006203069351613522,0.00041877332841977477,10.162032406481297
38,features.13.conv.2,16,"torch.Size([96, 576, 1, 1])",0.05967211350798607,0.029304921627044678,10.162032406481297
39,features.14.conv.0.0,16,"torch.Size([576, 96, 1, 1])",0.2607429325580597,0.25613853335380554,10.162032406481297
40,features.14.conv.1.0,16,"torch.Size([576, 1, 3, 3])",0.0032731671817600727,0.0005295780138112605,10.162032406481297
41,features.14.conv.2,16,"torch.Size([160, 576, 1, 1])",0.1617947816848755,0.1583632230758667,10.022004400880176
42,features.15.conv.0.0,16,"torch.Size([960, 160, 1, 1])",0.8263415694236755,0.7813980579376221,10.022004400880176
43,features.15.conv.1.0,16,"torch.Size([960, 1, 3, 3])",0.0019423860358074307,0.0017883158288896084,10.022004400880176
44,features.15.conv.2,16,"torch.Size([160, 960, 1, 1])",0.05304718017578125,0.028489775955677032,10.022004400880176
45,features.16.conv.0.0,16,"torch.Size([960, 160, 1, 1])",8.351783752441406,4.83101749420166,10.022004400880176
46,features.16.conv.1.0,16,"torch.Size([960, 1, 3, 3])",0.003354980144649744,0.001665507908910513,10.022004400880176
47,features.16.conv.2,16,"torch.Size([160, 960, 1, 1])",1.386160135269165,0.5862509608268738,10.022004400880176
48,features.17.conv.0.0,16,"torch.Size([960, 160, 1, 1])",133.28131103515625,106.17035675048828,10.022004400880176
49,features.17.conv.1.0,16,"torch.Size([960, 1, 3, 3])",0.005192582495510578,0.0014848564751446247,10.022004400880176
50,features.17.conv.2,16,"torch.Size([320, 960, 1, 1])",1.132315993309021,0.6111922860145569,10.022004400880176
51,features.18.0,16,"torch.Size([1280, 320, 1, 1])",10.357117652893066,9.942380905151367,9.701940388077615
52,classifier.1,16,"torch.Size([10, 1280])",3342.2685546875,3057.6669921875,9.701940388077615
