,name,bit,shape,mse_before,mse_after,acc
0,features.0.0,16,"torch.Size([32, 3, 3, 3])",0.30688947439193726,0.03325648605823517,10.182036407281455
1,features.1.conv.0.0,16,"torch.Size([32, 1, 3, 3])",0.002378419740125537,0.0023641253355890512,10.182036407281455
2,features.1.conv.1,16,"torch.Size([16, 32, 1, 1])",0.004283393733203411,0.004258161410689354,10.182036407281455
3,features.2.conv.0.0,16,"torch.Size([96, 16, 1, 1])",0.054172541946172714,0.054167620837688446,10.182036407281455
4,features.2.conv.1.0,16,"torch.Size([96, 1, 3, 3])",0.04506775736808777,0.03611450269818306,9.701940388077615
5,features.2.conv.2,16,"torch.Size([24, 96, 1, 1])",0.08556658774614334,0.08477919548749924,9.701940388077615
6,features.3.conv.0.0,16,"torch.Size([144, 24, 1, 1])",0.08259257674217224,0.07584337145090103,9.701940388077615
7,features.3.conv.1.0,16,"torch.Size([144, 1, 3, 3])",0.00879143737256527,0.002650820417329669,9.701940388077615
8,features.3.conv.2,16,"torch.Size([24, 144, 1, 1])",0.01846202462911606,0.01537800021469593,9.701940388077615
9,features.4.conv.0.0,16,"torch.Size([144, 24, 1, 1])",0.21304535865783691,0.18670542538166046,9.701940388077615
10,features.4.conv.1.0,16,"torch.Size([144, 1, 3, 3])",0.09348934888839722,0.021651096642017365,9.701940388077615
11,features.4.conv.2,16,"torch.Size([32, 144, 1, 1])",1.500240445137024,1.3666824102401733,10.022004400880176
12,features.5.conv.0.0,16,"torch.Size([192, 32, 1, 1])",1.5228556394577026,1.3319298028945923,10.022004400880176
13,features.5.conv.1.0,16,"torch.Size([192, 1, 3, 3])",0.04442393779754639,0.04099470004439354,10.022004400880176
14,features.5.conv.2,16,"torch.Size([32, 192, 1, 1])",0.7455307245254517,0.6483004689216614,10.022004400880176
15,features.6.conv.0.0,16,"torch.Size([192, 32, 1, 1])",2.0296096801757812,1.6896275281906128,10.022004400880176
16,features.6.conv.1.0,16,"torch.Size([192, 1, 3, 3])",0.03562048077583313,0.035278838127851486,10.022004400880176
17,features.6.conv.2,16,"torch.Size([32, 192, 1, 1])",0.3629627227783203,0.33735641837120056,10.022004400880176
18,features.7.conv.0.0,16,"torch.Size([192, 32, 1, 1])",2.412761688232422,2.225236415863037,10.022004400880176
19,features.7.conv.1.0,16,"torch.Size([192, 1, 3, 3])",0.1444796770811081,0.07677663117647171,10.022004400880176
20,features.7.conv.2,16,"torch.Size([64, 192, 1, 1])",1.5324370861053467,1.3425403833389282,10.162032406481297
21,features.8.conv.0.0,16,"torch.Size([384, 64, 1, 1])",2.2249653339385986,2.1753475666046143,10.162032406481297
22,features.8.conv.1.0,16,"torch.Size([384, 1, 3, 3])",0.015582863241434097,0.013108450919389725,10.162032406481297
23,features.8.conv.2,16,"torch.Size([64, 384, 1, 1])",0.5019829273223877,0.4866074323654175,10.162032406481297
24,features.9.conv.0.0,16,"torch.Size([384, 64, 1, 1])",1.8185451030731201,1.8164318799972534,10.162032406481297
25,features.9.conv.1.0,16,"torch.Size([384, 1, 3, 3])",0.0016554062021896243,0.001578915398567915,10.162032406481297
26,features.9.conv.2,16,"torch.Size([64, 384, 1, 1])",0.039184652268886566,0.038475584238767624,10.162032406481297
27,features.10.conv.0.0,16,"torch.Size([384, 64, 1, 1])",0.8278619050979614,0.8216145038604736,10.162032406481297
28,features.10.conv.1.0,16,"torch.Size([384, 1, 3, 3])",0.001437150640413165,0.0012476203264668584,10.162032406481297
29,features.10.conv.2,16,"torch.Size([64, 384, 1, 1])",0.04780501872301102,0.0305231474339962,10.162032406481297
30,features.11.conv.0.0,16,"torch.Size([384, 64, 1, 1])",5.936518669128418,5.865442752838135,10.162032406481297
