,name,bit,shape,mse_before,mse_after,acc
0,features.0.0,8,"torch.Size([32, 3, 3, 3])",0.2984926104545593,0.03186314180493355,10.162032406481297
1,features.1.conv.0.0,8,"torch.Size([32, 1, 3, 3])",0.0023151671048253775,0.0023015954066067934,10.162032406481297
2,features.1.conv.1,8,"torch.Size([16, 32, 1, 1])",0.003042934462428093,0.0030279052443802357,10.162032406481297
3,features.2.conv.0.0,8,"torch.Size([96, 16, 1, 1])",0.05334724485874176,0.053344473242759705,10.162032406481297
4,features.2.conv.1.0,8,"torch.Size([96, 1, 3, 3])",0.04518884792923927,0.03619951382279396,9.781956391278255
5,features.2.conv.2,8,"torch.Size([24, 96, 1, 1])",0.08652263134717941,0.08601566404104233,9.781956391278255
6,features.3.conv.0.0,8,"torch.Size([144, 24, 1, 1])",0.0833631381392479,0.07640721648931503,9.781956391278255
7,features.3.conv.1.0,8,"torch.Size([144, 1, 3, 3])",0.008864736184477806,0.0026981637347489595,9.781956391278255
8,features.3.conv.2,8,"torch.Size([24, 144, 1, 1])",0.019017841666936874,0.015838008373975754,9.781956391278255
9,features.4.conv.0.0,8,"torch.Size([144, 24, 1, 1])",0.21579131484031677,0.18857242166996002,9.781956391278255
10,features.4.conv.1.0,8,"torch.Size([144, 1, 3, 3])",0.09335114061832428,0.019403554499149323,9.781956391278255
11,features.4.conv.2,8,"torch.Size([32, 144, 1, 1])",1.4996875524520874,1.3632546663284302,10.682136427285457
12,features.5.conv.0.0,8,"torch.Size([192, 32, 1, 1])",1.5058451890945435,1.3195961713790894,10.682136427285457
13,features.5.conv.1.0,8,"torch.Size([192, 1, 3, 3])",0.04396836832165718,0.04036199674010277,10.682136427285457
14,features.5.conv.2,8,"torch.Size([32, 192, 1, 1])",0.748206377029419,0.6521475315093994,10.682136427285457
15,features.6.conv.0.0,8,"torch.Size([192, 32, 1, 1])",2.0367438793182373,1.7033922672271729,10.682136427285457
16,features.6.conv.1.0,8,"torch.Size([192, 1, 3, 3])",0.03514740243554115,0.03476868197321892,10.682136427285457
17,features.6.conv.2,8,"torch.Size([32, 192, 1, 1])",0.3631581962108612,0.3377358615398407,10.682136427285457
18,features.7.conv.0.0,8,"torch.Size([192, 32, 1, 1])",2.3977296352386475,2.2141976356506348,10.682136427285457
19,features.7.conv.1.0,8,"torch.Size([192, 1, 3, 3])",0.14169245958328247,0.07237052917480469,10.682136427285457
20,features.7.conv.2,8,"torch.Size([64, 192, 1, 1])",1.5392793416976929,1.3516817092895508,9.781956391278255
21,features.8.conv.0.0,8,"torch.Size([384, 64, 1, 1])",2.2554874420166016,2.205075740814209,9.781956391278255
22,features.8.conv.1.0,8,"torch.Size([384, 1, 3, 3])",0.01586340181529522,0.013396153226494789,9.781956391278255
23,features.8.conv.2,8,"torch.Size([64, 384, 1, 1])",0.49918660521507263,0.4825405478477478,9.781956391278255
24,features.9.conv.0.0,8,"torch.Size([384, 64, 1, 1])",1.8336822986602783,1.831572413444519,9.781956391278255
25,features.9.conv.1.0,8,"torch.Size([384, 1, 3, 3])",0.0016472545685246587,0.0015714577166363597,9.781956391278255
26,features.9.conv.2,8,"torch.Size([64, 384, 1, 1])",0.03939935192465782,0.03865927457809448,9.781956391278255
27,features.10.conv.0.0,8,"torch.Size([384, 64, 1, 1])",0.8355188369750977,0.8292971849441528,9.781956391278255
28,features.10.conv.1.0,8,"torch.Size([384, 1, 3, 3])",0.0014610221842303872,0.001266363076865673,9.781956391278255
29,features.10.conv.2,8,"torch.Size([64, 384, 1, 1])",0.04829435423016548,0.03164965286850929,9.781956391278255
30,features.11.conv.0.0,8,"torch.Size([384, 64, 1, 1])",5.9760966300964355,5.90229606628418,9.781956391278255
31,features.11.conv.1.0,8,"torch.Size([384, 1, 3, 3])",0.0395558662712574,0.03684261068701744,9.781956391278255
32,features.11.conv.2,8,"torch.Size([96, 384, 1, 1])",0.9300011992454529,0.8978418707847595,9.781956391278255
33,features.12.conv.0.0,8,"torch.Size([576, 96, 1, 1])",0.13814270496368408,0.1369040161371231,9.781956391278255
34,features.12.conv.1.0,8,"torch.Size([576, 1, 3, 3])",0.0007310627843253314,0.0004846648371312767,9.781956391278255
35,features.12.conv.2,8,"torch.Size([96, 576, 1, 1])",0.0966133400797844,0.06765878945589066,9.781956391278255
36,features.13.conv.0.0,8,"torch.Size([576, 96, 1, 1])",0.16024573147296906,0.15827511250972748,9.781956391278255
37,features.13.conv.1.0,8,"torch.Size([576, 1, 3, 3])",0.000624207139480859,0.00042982163722626865,9.781956391278255
38,features.13.conv.2,8,"torch.Size([96, 576, 1, 1])",0.05885642394423485,0.027982788160443306,9.781956391278255
